date,net_pnl
2026-01-01,0.0
2026-01-02,-18.250000000000004
2026-01-03,0.0
2026-01-04,0.0
2026-01-05,0.44
2026-01-06,366.82
2026-01-07,51.91999999999999
2026-01-08,97.52999999999999
2026-01-09,101.66
2026-01-10,0.0
2026-01-11,0.0
2026-01-12,78.07
2026-01-13,106.88999999999999
2026-01-14,164.29
2026-01-15,170.76
2026-01-16,255.47
2026-01-17,0.0
2026-01-18,0.0
2026-01-19,33.120000000000005
2026-01-20,134.94
2026-01-21,339.09000000000003
2026-01-22,29.86999999999999
2026-01-23,475.45
2026-01-24,0.0
2026-01-25,0.0
2026-01-26,-3.530000000000001
2026-01-27,-23.630000000000003
2026-01-28,-38.87
2026-01-29,48.16
2026-01-30,925.02
2026-01-31,0.0
2026-02-01,0.0
2026-02-02,294.93
2026-02-03,183.41
2026-02-04,263.81
2026-02-05,385.96
2026-02-06,154.03
2026-02-07,0.0
2026-02-08,0.0
2026-02-09,-93.5
2026-02-10,411.03
2026-02-11,61.25
2026-02-12,-136.55
2026-02-13,864.25
2026-02-14,0.0
2026-02-15,0.0
2026-02-16,1026.43
2026-02-17,138.26
2026-02-18,1880.6100000000001
2026-02-19,763.2099999999999
2026-02-20,912.9
2026-02-21,0.0
2026-02-22,0.0
2026-02-23,431.41999999999996
2026-02-24,3.2200000000000006
2026-02-25,647.87
2026-02-26,-48.529999999999994
2026-02-27,1629.29
2026-02-28,0.0
2026-03-01,0.0
2026-03-02,93.83000000000001
2026-03-03,361.93
2026-03-04,21.29
2026-03-05,821.48
2026-03-06,-59.65
2026-03-07,0.0
2026-03-08,0.0
2026-03-09,1211.22
2026-03-10,257.26
2026-03-11,242.41
2026-03-12,941.5500000000001
2026-03-13,73.11999999999999
2026-03-14,0.0
2026-03-15,0.0
2026-03-16,228.76
2026-03-17,595.03
2026-03-18,221.51999999999998
2026-03-19,-109.44999999999999
2026-03-20,213.26
2026-03-21,0.0
2026-03-22,-53.769999999999996
2026-03-23,3.08
2026-03-24,237.44000000000003
2026-03-25,-198.69
2026-03-26,966.82
2026-03-27,5121.92
2026-03-28,0.0
2026-03-29,0.0
2026-03-30,104.61000000000001
2026-03-31,1831.18
2026-04-01,78.2
2026-04-02,1248.97
2026-04-03,0.0
2026-04-04,0.0
2026-04-05,0.0
2026-04-06,270.65
2026-04-07,3167.11
2026-04-08,-86.52
2026-04-09,182.35000000000002
2026-04-10,1125.83
2026-04-11,0.0
2026-04-12,0.0
2026-04-13,2399.92
2026-04-14,2787.83
2026-04-15,290.75
2026-04-16,1082.23
2026-04-17,1225.13
2026-04-18,0.0
2026-04-19,0.0
2026-04-20,45.10000000000001
2026-04-21,-84.3
2026-04-22,-68.46000000000001
2026-04-23,-558.5
2026-04-24,-64.97
2026-04-25,0.0
2026-04-26,-54.019999999999996
2026-04-27,282.89
2026-04-28,-182.01999999999998
2026-04-29,-59.36999999999999
2026-04-30,-12.569999999999997
2026-05-01,-5.959999999999999
2026-05-02,0.0
2026-05-03,10.790000000000001
2026-05-04,362.09999999999997
2026-05-05,-53.64
2026-05-06,-5.77
2026-05-07,119.16
2026-05-08,1780.59
2026-05-09,0.0
2026-05-10,0.0
2026-05-11,479.71
2026-05-12,33.589999999999996
2026-05-13,50.95000000000001
2026-05-14,-24.590000000000003
2026-05-15,26.009999999999998
2026-05-16,0.0
2026-05-17,0.0
2026-05-18,-62.0
2026-05-19,115.89
2026-05-20,171.43
2026-05-21,-116.16000000000001
2026-05-22,-67.07
2026-05-23,0.0
2026-05-24,0.0
2026-05-25,-87.17
2026-05-26,-76.06
2026-05-27,42.120000000000005
2026-05-28,-51.18000000000001
2026-05-29,3.42
2026-05-30,0.0
2026-05-31,0.0
2026-06-01,-64.37
2026-06-02,39.69
2026-06-03,114.11
2026-06-04,-3.860000000000003
2026-06-05,-205.92000000000002
2026-06-06,0.0
2026-06-07,0.0
2026-06-08,-109.76
2026-06-09,-252.54000000000002
2026-06-10,-200.91000000000003
2026-06-11,134.94
2026-06-12,76.82
2026-06-13,0.0
2026-06-14,0.0
2026-06-15,69.02
2026-06-16,-28.36
2026-06-17,-2.4699999999999966
2026-06-18,-283.24
2026-06-19,-65.93
2026-06-20,0.0
2026-06-21,0.0
