date,net_pnl
2026-01-01,0.0
2026-01-02,25.349999999999998
2026-01-03,0.0
2026-01-04,0.0
2026-01-05,0.44
2026-01-06,209.29
2026-01-07,6.8699999999999966
2026-01-08,205.97
2026-01-09,114.96000000000001
2026-01-10,0.0
2026-01-11,0.0
2026-01-12,24.049999999999997
2026-01-13,52.29
2026-01-14,-9.620000000000001
2026-01-15,111.89999999999999
2026-01-16,99.37
2026-01-17,0.0
2026-01-18,492.12
2026-01-19,9.610000000000001
2026-01-20,62.04
2026-01-21,303.75
2026-01-22,8.12
2026-01-23,3.050000000000002
2026-01-24,0.0
2026-01-25,0.0
2026-01-26,-5.7299999999999995
2026-01-27,29.860000000000003
2026-01-28,8.12
2026-01-29,45.98
2026-01-30,745.23
2026-01-31,0.0
2026-02-01,0.0
2026-02-02,89.72
2026-02-03,265.94
2026-02-04,317.63
2026-02-05,138.04
2026-02-06,17.680000000000003
2026-02-07,0.0
2026-02-08,0.0
2026-02-09,12.56
2026-02-10,133.17
2026-02-11,184.0
2026-02-12,0.0
2026-02-13,281.06
2026-02-14,0.0
2026-02-15,0.0
2026-02-16,56.51
2026-02-17,347.12
2026-02-18,190.59
2026-02-19,674.93
2026-02-20,0.0
2026-02-21,0.0
2026-02-22,0.0
2026-02-23,327.86
2026-02-24,15.450000000000001
2026-02-25,186.73000000000002
2026-02-26,-11.889999999999993
2026-02-27,1289.62
2026-02-28,0.0
2026-03-01,0.0
2026-03-02,-79.83999999999999
2026-03-03,46.17
2026-03-04,31.41
2026-03-05,33.67
2026-03-06,474.92
2026-03-07,0.0
2026-03-08,0.0
2026-03-09,1004.79
2026-03-10,105.62
2026-03-11,248.45
2026-03-12,1016.3700000000001
2026-03-13,102.19
2026-03-14,0.0
2026-03-15,0.0
2026-03-16,208.08
2026-03-17,15.67
2026-03-18,297.57
2026-03-19,0.0
2026-03-20,2.8200000000000003
2026-03-21,0.0
2026-03-22,0.0
2026-03-23,0.0
2026-03-24,-41.019999999999996
2026-03-25,-0.29000000000000004
2026-03-26,943.0500000000001
2026-03-27,1646.52
2026-03-28,0.0
2026-03-29,0.0
2026-03-30,134.97
2026-03-31,1859.4800000000002
2026-04-01,77.1
2026-04-02,114.4
2026-04-03,0.0
2026-04-04,0.0
2026-04-05,0.0
2026-04-06,15.489999999999975
2026-04-07,1675.8799999999999
2026-04-08,-5.52
2026-04-09,162.53
2026-04-10,247.89
2026-04-11,0.0
2026-04-12,0.0
2026-04-13,340.6
2026-04-14,986.6400000000001
2026-04-15,118.68
2026-04-16,91.39
2026-04-17,999.2
2026-04-18,0.0
2026-04-19,0.0
2026-04-20,66.2
2026-04-21,-5.7
2026-04-22,74.61
2026-04-23,-87.54
2026-04-24,-53.91
2026-04-25,0.0
2026-04-26,0.0
2026-04-27,14.969999999999999
2026-04-28,0.0
2026-04-29,0.0
2026-04-30,-5.73
2026-05-01,40.46
2026-05-02,0.0
2026-05-03,9.55
2026-05-04,93.64
2026-05-05,10.58
2026-05-06,-5.77
2026-05-07,37.82
2026-05-08,62.879999999999995
2026-05-09,0.0
2026-05-10,0.0
2026-05-11,18.39
2026-05-12,14.11
2026-05-13,861.6300000000001
2026-05-14,84.92999999999999
2026-05-15,-21.54
2026-05-16,0.0
2026-05-17,0.0
2026-05-18,18.1
2026-05-19,-5.77
2026-05-20,0.0
2026-05-21,0.0
2026-05-22,-3.28
2026-05-23,0.0
2026-05-24,0.0
2026-05-25,-6.23
2026-05-26,0.0
2026-05-27,0.0
2026-05-28,8.6
2026-05-29,4.74
2026-05-30,0.0
2026-05-31,0.0
2026-06-01,44.83
2026-06-02,-34.73
2026-06-03,11.31
2026-06-04,38.92
2026-06-05,-74.52000000000001
2026-06-06,0.0
2026-06-07,0.0
2026-06-08,-53.36
2026-06-09,0.0
2026-06-10,-90.95
2026-06-11,44.08
2026-06-12,0.0
2026-06-13,0.0
2026-06-14,0.0
2026-06-15,0.0
2026-06-16,-28.36
2026-06-17,0.0
2026-06-18,-168.67
2026-06-19,0.0
2026-06-20,0.0
2026-06-21,0.0
