date,net_pnl
2026-01-01,0.0
2026-01-02,0.0
2026-01-03,0.0
2026-01-04,0.0
2026-01-05,0.0
2026-01-06,68.28
2026-01-07,0.0
2026-01-08,0.0
2026-01-09,0.0
2026-01-10,0.0
2026-01-11,0.0
2026-01-12,0.0
2026-01-13,0.0
2026-01-14,0.0
2026-01-15,0.0
2026-01-16,0.77
2026-01-17,0.0
2026-01-18,0.0
2026-01-19,0.0
2026-01-20,0.0
2026-01-21,12.89
2026-01-22,0.0
2026-01-23,7.9
2026-01-24,0.0
2026-01-25,0.0
2026-01-26,0.0
2026-01-27,4.37
2026-01-28,0.0
2026-01-29,9.18
2026-01-30,197.81
2026-01-31,0.0
2026-02-01,0.0
2026-02-02,35.88
2026-02-03,144.2
2026-02-04,0.0
2026-02-05,17.41
2026-02-06,0.0
2026-02-07,0.0
2026-02-08,0.0
2026-02-09,0.0
2026-02-10,19.43
2026-02-11,52.3
2026-02-12,0.0
2026-02-13,50.61000000000001
2026-02-14,0.0
2026-02-15,0.0
2026-02-16,0.0
2026-02-17,0.0
2026-02-18,6.17
2026-02-19,69.27
2026-02-20,0.0
2026-02-21,0.0
2026-02-22,0.0
2026-02-23,11.94
2026-02-24,3.45
2026-02-25,0.0
2026-02-26,17.89
2026-02-27,0.0
2026-02-28,0.0
2026-03-01,0.0
2026-03-02,0.0
2026-03-03,27.45
2026-03-04,6.28
2026-03-05,11.93
2026-03-06,0.0
2026-03-07,0.0
2026-03-08,0.0
2026-03-09,3.08
2026-03-10,0.0
2026-03-11,14.83
2026-03-12,0.0
2026-03-13,19.5
2026-03-14,0.0
2026-03-15,0.0
2026-03-16,0.0
2026-03-17,0.0
2026-03-18,0.0
2026-03-19,0.0
2026-03-20,0.0
2026-03-21,0.0
2026-03-22,0.0
2026-03-23,0.0
2026-03-24,0.0
2026-03-25,-0.22
2026-03-26,0.0
2026-03-27,0.0
2026-03-28,0.0
2026-03-29,0.0
2026-03-30,23.68
2026-03-31,31.54
2026-04-01,0.0
2026-04-02,120.31
2026-04-03,0.0
2026-04-04,0.0
2026-04-05,0.0
2026-04-06,0.0
2026-04-07,671.77
2026-04-08,0.0
2026-04-09,0.0
2026-04-10,0.0
2026-04-11,0.0
2026-04-12,0.0
2026-04-13,34.19
2026-04-14,0.0
2026-04-15,72.26
2026-04-16,0.0
2026-04-17,0.22
2026-04-18,0.0
2026-04-19,0.0
2026-04-20,0.0
2026-04-21,0.0
2026-04-22,0.0
2026-04-23,0.0
2026-04-24,0.0
2026-04-25,0.0
2026-04-26,0.0
2026-04-27,0.99
2026-04-28,0.0
2026-04-29,0.0
2026-04-30,0.0
2026-05-01,0.0
2026-05-02,0.0
2026-05-03,0.0
2026-05-04,0.0
2026-05-05,0.0
2026-05-06,0.0
2026-05-07,0.0
2026-05-08,41.339999999999996
2026-05-09,0.0
2026-05-10,0.0
2026-05-11,0.0
2026-05-12,-0.4
2026-05-13,0.0
2026-05-14,0.0
2026-05-15,0.0
2026-05-16,0.0
2026-05-17,0.0
2026-05-18,16.52
2026-05-19,0.0
2026-05-20,0.0
2026-05-21,0.0
2026-05-22,0.84
2026-05-23,0.0
2026-05-24,0.0
2026-05-25,0.0
2026-05-26,0.0
2026-05-27,0.0
2026-05-28,0.0
2026-05-29,4.74
2026-05-30,0.0
2026-05-31,0.0
2026-06-01,44.87
2026-06-02,0.0
2026-06-03,0.9099999999999999
2026-06-04,0.0
2026-06-05,-142.07
2026-06-06,0.0
2026-06-07,0.0
2026-06-08,0.0
2026-06-09,0.0
2026-06-10,14.68
2026-06-11,7.75
2026-06-12,0.0
2026-06-13,0.0
2026-06-14,0.0
2026-06-15,0.0
2026-06-16,0.0
2026-06-17,0.0
2026-06-18,-40.16
2026-06-19,0.0
2026-06-20,0.0
2026-06-21,0.0
