date,baseline,target_rr_150,target_rr_250,sl_buffer_atr_010,sl_buffer_atr_020,displ_body_atr_035,displ_body_atr_060,fvg_min_atr_004,fvg_min_atr_008,trail_d003_a045,trail_d003_a150,trail_d020_a045,trail_d020_a090,trail_d020_a150,trail_d060_a045,trail_d060_a090,trail_d060_a150,trail_d120_a045,trail_d120_a090,trail_d120_a150
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,7.75,7.12,7.12,7.12,5.66,5.66,5.66,4.7,4.7,4.7
2024-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-09,-4.22,-4.22,-4.22,-4.08,-4.41,-4.22,-4.22,-4.22,-4.22,-4.22,-4.22,-4.22,-4.22,-4.22,-4.22,-4.22,-4.22,-4.22,-4.22,-4.22
2024-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-11,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,5.69,5.69,5.69,6.79,6.79,6.79,4.59,4.59,4.59
2024-01-12,0.0,0.0,0.0,0.0,0.0,0.0,5.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-16,-23.689999999999998,-23.689999999999998,-23.689999999999998,-23.4,-24.089999999999996,-23.689999999999998,-23.689999999999998,-23.689999999999998,-23.689999999999998,-24.87,-16.57,-25.49,-24.32,-17.189999999999998,-26.96,-24.9,-18.66,-27.11,-27.11,-16.27
2024-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-19,-8.370000000000001,-9.18,-8.370000000000001,-8.26,-8.670000000000002,-8.370000000000001,-8.370000000000001,-8.370000000000001,-8.370000000000001,-10.5,-8.22,-10.83,-8.99,-8.22,-8.22,-8.22,-8.22,-8.22,-8.22,-8.22
2024-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
