date,trail_off,trail_d030_a045,trail_d030_a090,trail_d030_a150,trail_d050_a045,trail_d050_a090,trail_d050_a150,trail_d080_a045,trail_d080_a090,trail_d080_a150,target_rr_150_at_selected_exit,target_rr_250_at_selected_exit,sl_buffer_atr_010_at_selected_exit,sl_buffer_atr_020_at_selected_exit,displ_body_atr_035_at_selected_exit,displ_body_atr_060_at_selected_exit,fvg_min_atr_004_at_selected_exit,fvg_min_atr_008_at_selected_exit
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,-27.55,6.76,6.76,6.76,6.02,6.02,6.02,4.92,4.92,4.92,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76
2024-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-09,-4.22,-4.22,-4.22,-4.22,-4.22,-4.22,-4.22,-4.22,-4.22,-4.22,-4.22,-4.22,-4.08,-4.41,-4.22,-4.22,-4.22,-4.22
2024-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-11,-10.28,5.33,5.33,5.33,4.59,4.59,4.59,6.06,6.06,6.06,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33
2024-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0
2024-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
